UNIT,YEAR,POPULATION,ESTIMATE
"Deaths per 100,000 resident population, crude",1980,All persons,11.9
"Deaths per 100,000 resident population, crude",1981,All persons,12
"Deaths per 100,000 resident population, crude",1950,All persons,11.4
"Deaths per 100,000 resident population, crude",1960,All persons,10.6
"Deaths per 100,000 resident population, crude",1970,All persons,11.6
"Deaths per 100,000 resident population, crude",1982,All persons,12.2
"Deaths per 100,000 resident population, crude",1983,All persons,12.1
"Deaths per 100,000 resident population, crude",1984,All persons,12.4
"Deaths per 100,000 resident population, crude",1985,All persons,12.4
"Deaths per 100,000 resident population, crude",1986,All persons,12.9
"Deaths per 100,000 resident population, crude",1987,All persons,12.7
"Deaths per 100,000 resident population, crude",1988,All persons,12.4
"Deaths per 100,000 resident population, crude",1989,All persons,12.2
"Deaths per 100,000 resident population, crude",1990,All persons,12.4
"Deaths per 100,000 resident population, crude",1991,All persons,12.2
"Deaths per 100,000 resident population, crude",1992,All persons,11.9
"Deaths per 100,000 resident population, crude",1993,All persons,12
"Deaths per 100,000 resident population, crude",1994,All persons,11.8
"Deaths per 100,000 resident population, crude",1995,All persons,11.7
"Deaths per 100,000 resident population, crude",1996,All persons,11.5
"Deaths per 100,000 resident population, crude",1997,All persons,11.2
"Deaths per 100,000 resident population, crude",1998,All persons,11.1
"Deaths per 100,000 resident population, crude",1999,All persons,10.5
"Deaths per 100,000 resident population, crude",2000,All persons,10.4
"Deaths per 100,000 resident population, crude",2001,All persons,10.7
"Deaths per 100,000 resident population, crude",2002,All persons,11
"Deaths per 100,000 resident population, crude",2003,All persons,10.9
"Deaths per 100,000 resident population, crude",2004,All persons,11.1
"Deaths per 100,000 resident population, crude",2005,All persons,11
"Deaths per 100,000 resident population, crude",2006,All persons,11.2
"Deaths per 100,000 resident population, crude",2007,All persons,11.5
"Deaths per 100,000 resident population, crude",2008,All persons,11.8
"Deaths per 100,000 resident population, crude",2009,All persons,12
"Deaths per 100,000 resident population, crude",2010,All persons,12.4
"Deaths per 100,000 resident population, crude",2011,All persons,12.7
"Deaths per 100,000 resident population, crude",2012,All persons,12.9
"Deaths per 100,000 resident population, crude",2013,All persons,13
"Deaths per 100,000 resident population, crude",2014,All persons,13.4
"Deaths per 100,000 resident population, crude",2015,All persons,13.7
"Deaths per 100,000 resident population, crude",2016,All persons,13.9
"Deaths per 100,000 resident population, crude",2017,All persons,14.5
"Deaths per 100,000 resident population, crude",2018,All persons,14.8
